date,case_shiller,cs_ret,work_over55,housing_starts,monthly_supply,confidence,pop_growth,unemploy,10yr_treas,income,cpi,gini_ratio
8/1/1991,76.586,0.001006418,29.4,1049,6.8,82,0.001238693,5.7,7.94,30065,136.6,0.428
9/1/1991,76.571,-0.000195858,29.6,1015,7.4,83,0.001256861,5.5,7.67,30080.25,137,0.428
10/1/1991,76.286,-0.003722036,29.4,1079,6.7,78.3,0.001215932,5.4,7.52,30095.5,137.2,0.428
11/1/1991,76.033,-0.003316467,29.4,1103,6.2,69.1,0.001112268,5.6,7.43,30110.75,137.8,0.428
12/1/1991,75.833,-0.002630437,29.3,1079,6.2,68.2,0.000965774,5.9,7.11,30126,138.2,0.428
1/1/1992,75.696,-0.001806601,29.7,1176,5.2,67.5,0.000980531,7,7,30168.5,138.3,0.428416667
2/1/1992,75.652,-0.000581272,29.7,1250,4.9,68.8,0.000916878,7.1,7.34,30211,138.6,0.428833333
3/1/1992,75.811,0.002101729,29.9,1297,6.1,76,0.000998246,6.8,7.55,30253.5,139.1,0.42925
4/1/1992,76.078,0.003521916,29.8,1099,6.1,77.2,0.001130217,6.3,7.46,30296,139.4,0.429666667
5/1/1992,76.397,0.004193065,29.8,1214,6,79.2,0.001144567,6.1,7.42,30338.5,139.7,0.430083333
6/1/1992,76.602,0.002683351,29.8,1145,5.6,80.4,0.001186179,6.2,7.28,30381,140.1,0.4305
7/1/1992,76.711,0.001422939,29.9,1139,5.3,76.6,0.001188671,6.3,6.88,30423.5,140.5,0.430916667
8/1/1992,76.732,0.000273755,29.6,1226,5.2,76.1,0.001315718,6.4,6.59,30466,140.8,0.431333333
9/1/1992,76.63,-0.001329302,29.5,1186,5,75.6,0.001228463,6,6.43,30508.5,141.1,0.43175
10/1/1992,76.601,-0.000378442,29.4,1244,5.1,73.3,0.001215307,5.9,6.56,30551,141.7,0.432166667
11/1/1992,76.582,-0.000248039,29.6,1214,5.4,85.3,0.001109125,6,6.87,30593.5,142.1,0.432583333
12/1/1992,76.468,-0.0014886,29.4,1227,5,91,0.001030421,6.2,6.79,30636,142.3,0.433
1/1/1993,76.399,-0.000902338,29.2,1210,5.4,89.3,0.00102936,6.9,6.62,30686.41667,142.8,0.43475
2/1/1993,76.331,-0.000890064,29.6,1210,5.3,86.6,0.000927791,6.7,6.26,30736.83333,143.1,0.4365
3/1/1993,76.386,0.000720546,29.3,1083,5.4,85.9,0.000899895,6.5,5.97,30787.25,143.3,0.43825
4/1/1993,76.663,0.003626319,29.2,1258,4.7,85.6,0.00101099,5.9,5.98,30837.66667,143.8,0.44
5/1/1993,77.032,0.004813274,29.5,1260,5.3,80.3,0.001025388,5.5,6.04,30888.08333,144.2,0.44175
6/1/1993,77.518,0.006309066,29.6,1280,5.2,81.5,0.001089803,5.8,6,30938.5,144.3,0.4435
